doc_id,place_name,geonameid,hit_lat,hit_lon,hit_country_iso2,hit_admin1_name,hit_admin1_code,feature_class,feature_code,candidate_reason,hit_type,rank,ims_facility_id,unlocode,facility_name,facility_city,facility_country_iso2,facility_admin1,facility_lat,facility_lon,distance_km,name_score,admin_score,dist_score,total_score
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Batam,6295587,1.14937,104.02491,ID,Riau,37,P,PPL,by_country,normal,1,BTM,IDBTM,Batam Island,Kepulauan Riau,ID,KR,1.08333,104.03333,7.402735813441795,1.0,0.0,0.9012968558207761,0.8703890567462328
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Batam,6295587,1.14937,104.02491,ID,Riau,37,P,PPL,by_country,normal,2,BUR,IDBUR,Batu Ampar,,ID,KR,1.16667,104.01667,2.1306522589964714,0.7142857142857143,0.0,0.9715913032133804,0.7200488195354426
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Batam,6295587,1.14937,104.02491,ID,Riau,37,P,PPL,by_country,normal,3,LBM,IDLBM,Lobam,,ID,,1.0,104.26667,31.59554499584638,0.6,0.0,0.5787260667220482,0.5336178200166144
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Republic of Singapore,1880251,1.36667,103.8,SG,,00,A,PCLI,by_country,country,1,SEM,SGSEM,Sembawang Port,,SG,,1.449111111,103.818494444,9.394737350274271,0.4117647058823529,0.0,0.8747368353296764,0.5094798741283146
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Republic of Singapore,1880251,1.36667,103.8,SG,,00,A,PCLI,by_country,country,2,BKM,SGBKM,Bukit Merah Estate,Central Singapore,SG,01,1.28333,103.81667,9.450454044568794,0.631578947368421,0.0,0.8739939460724161,0.6411455522427774
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Republic of Singapore,1880251,1.36667,103.8,SG,,00,A,PCLI,by_country,country,5,SIN,SGSIN,Singapore,,SG,,1.28333,103.85,10.80607515791352,1.0,0.0,0.8559189978944863,0.8567756993683459
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Republic of Singapore,1880251,1.36667,103.8,SG,,00,A,PCLI,by_country,country,10,JUR,SGJUR,Jurong/Singapore,,SG,,1.33333,103.7,11.718280755631644,0.5945945945945946,0.0,0.843756256591578,0.6098836337342302
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Singapore,1880252,1.28967,103.85007,SG,,,P,PPLC,by_country,normal,1,SIN,SGSIN,Singapore,,SG,,1.28333,103.85,0.7050187816064034,1.0,0.0,0.9905997495785813,0.8971799248735743
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Singapore,1880252,1.28967,103.85007,SG,,,P,PPLC,by_country,normal,2,BKM,SGBKM,Bukit Merah Estate,Central Singapore,SG,01,1.28333,103.81667,3.7793080867836326,0.72,0.0,0.9496092255095515,0.7168827676528655
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Singapore,1880252,1.28967,103.85007,SG,,,P,PPLC,by_country,normal,3,JUR,SGJUR,Jurong/Singapore,,SG,,1.33333,103.7,17.37468374476754,0.72,0.0,0.7683375500697661,0.6625012650209299
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Singapore,1880252,1.28967,103.85007,SG,,,P,PPLC,by_country,normal,4,SCT,SGSCT,Singapore Container Terminal,,SG,,1.26667,103.833,3.184603887884378,0.5142857142857142,0.0,0.9575386148282083,0.595833013019891
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Singapore,1880252,1.28967,103.85007,SG,,,P,PPLC,by_country,normal,5,PAP,SGPAP,Pasir Panjang Wharves,,SG,,1.26667,103.78333,7.847724215923911,0.5,0.0,0.8953636771210145,0.5686091031363043
01217f5e840ff8cfdbbb6760db3d87015bf9ec69,Singapore,1880252,1.28967,103.85007,SG,,,P,PPLC,by_country,normal,6,SEM,SGSEM,Sembawang Port,,SG,,1.449111111,103.818494444,18.073165687225917,0.5454545454545454,0.0,0.7590244575036544,0.5549800645238235
03f72fe6528f5420c4e6e5a29b397925841f27cb,Baltic Sea,2633321,56.0,18.0,,,00,H,SEA,by_sea_coords_600.0km,sea,5,KLR,SEKLR,Kalmar,Kalmar län,SE,H,56.66667,16.36667,125.02307407701312,0.46153846153846156,0.0,0.7916282098716448,0.5144115398845703
03f72fe6528f5420c4e6e5a29b397925841f27cb,Baltic Sea,2633321,56.0,18.0,,,00,H,SEA,by_sea_coords_600.0km,sea,34,GDN,PLGDN,Gdansk,,PL,,54.3706858,18.61298210330077,185.30162236363262,0.5,0.0,0.691163962727279,0.5073491888181837
03f72fe6528f5420c4e6e5a29b397925841f27cb,Baltic Sea,2633321,56.0,18.0,,,00,H,SEA,by_sea_coords_600.0km,sea,38,BLT,RUBLT,Baltiysk,,RU,,54.6437214,19.8941584,192.61091725440977,0.6666666666666666,0.0,0.6789818045759837,0.6036945413727951
03f72fe6528f5420c4e6e5a29b397925841f27cb,Dakar,2253354,14.6937,-17.44406,SN,Dakar,01,P,PPLC,by_country,normal,1,DKR,SNDKR,Dakar,,SN,,14.693425,-17.447938,0.41823097884096777,1.0,0.0,0.9944235869487871,0.898327076084636
03f72fe6528f5420c4e6e5a29b397925841f27cb,Daman,1273618,20.41431,72.83236,IN,Dadra and Nagar Haveli and Daman and Diu,52,P,PPLA,by_country,normal,1,DAM,INDAM,Daman,Daman and Diu,IN,DD,20.42000485,72.86376290300566,3.333181532381491,1.0,0.0,0.9555575795682468,0.886667273870474
03f72fe6528f5420c4e6e5a29b397925841f27cb,Daman,1273618,20.41431,72.83236,IN,Dadra and Nagar Haveli and Daman and Diu,52,P,PPLA,by_country,normal,2,DHU,INDHU,Dahanu,Maharashtra,IN,MH,19.9887244,72.733848,48.426687041557685,0.7272727272727273,0.0,0.3543108394458976,0.5426568881974057
03f72fe6528f5420c4e6e5a29b397925841f27cb,Novorossiysk,518255,44.73188,37.76176,RU,Krasnodar Krai,38,P,PPLA2,by_country,normal,1,NVS,RUNVS,Novorossiysk,Krasnodarskiy kray,RU,KDA,44.71667,37.76667,1.7351901983115687,1.0,0.0,0.9768641306891791,0.8930592392067537
03f72fe6528f5420c4e6e5a29b397925841f27cb,Port of Los Angeles,5384364,33.72919,-118.26202,US,California,CA,H,HBR,by_country,normal,1,LAX,USLAX,Los Angeles,California,US,CA,34.05,-118.25,35.689694189197404,1.0,1.0,0.5241374108107013,0.8572412232432104
03f72fe6528f5420c4e6e5a29b397925841f27cb,Port of Los Angeles,5384364,33.72919,-118.26202,US,California,CA,H,HBR,by_country,normal,2,LGB,USLGB,Long Beach,California,US,CA,33.76667,-118.18333,8.384587571577997,0.7027027027027027,1.0,0.8882054990456267,0.7880832713353096
03f72fe6528f5420c4e6e5a29b397925841f27cb,Port of Los Angeles,5384364,33.72919,-118.26202,US,California,CA,H,HBR,by_country,normal,3,WTN,USWTN,Wilmington,California,US,CA,33.76667,-118.26667,4.1897027451065165,0.6190476190476191,1.0,0.9441372967319132,0.7546697604481454
